sample_index,sample_id,source_cube,label,max_absolute_difference,mean_absolute_difference,rmse,absolute_tolerance,within_tolerance
598,3-2/39,3-2,3,1.1332556926202386e-07,3.005732061926753e-08,3.689132310145169e-08,1e-05,1
599,3-2/40,3-2,3,1.0120986682071731e-07,2.4923652395185316e-08,3.118528919846533e-08,1e-05,1
600,3-2/41,3-2,3,1.0468065692048611e-07,2.8169419307654017e-08,3.5429954007311237e-08,1e-05,1
601,3-2/42,3-2,3,1.2478342736876868e-07,3.263064275868589e-08,4.09142645279413e-08,1e-05,1
602,3-2/43,3-2,3,1.2288161377327356e-07,2.7385513735113357e-08,3.4560863553847025e-08,1e-05,1
603,3-2/44,3-2,3,1.196270795755794e-07,2.560630830714287e-08,3.289744658075721e-08,1e-05,1
604,3-2/45,3-2,3,1.215532922094198e-07,2.688940336634079e-08,3.3828037054654694e-08,1e-05,1
605,3-2/46,3-2,3,1.3570700341247743e-07,2.7236433651234746e-08,3.458066138949744e-08,1e-05,1
606,3-2/47,3-2,3,1.3831334189084998e-07,2.5084790975413898e-08,3.214955026667525e-08,1e-05,1
607,3-2/48,3-2,3,1.0006168360554568e-07,2.6243856723272315e-08,3.3719652621704483e-08,1e-05,1
608,3-2/49,3-2,3,1.3090302630747175e-07,2.917757685843445e-08,3.710732860711068e-08,1e-05,1
609,3-2/50,3-2,3,1.2344257371843526e-07,2.473447614993825e-08,3.150251551898893e-08,1e-05,1
610,3-2/51,3-2,3,1.195988620361632e-07,3.135626584530774e-08,3.984771990243801e-08,1e-05,1
611,3-2/52,3-2,3,9.638769171704809e-08,2.385137832250588e-08,3.0343783899022695e-08,1e-05,1
612,3-2/53,3-2,3,1.2048289332877715e-07,2.9281671964552077e-08,3.7156767285024305e-08,1e-05,1
613,3-2/54,3-2,3,1.0791434523760302e-07,2.53582534699845e-08,3.220773533732605e-08,1e-05,1
614,3-2/55,3-2,3,1.498078576744888e-07,3.1026288307666615e-08,4.083216706272719e-08,1e-05,1
615,3-2/56,3-2,3,1.0731701649557834e-07,2.46043874206087e-08,3.1888584472770594e-08,1e-05,1
616,3-2/57,3-2,3,1.1786684239734058e-07,2.603268338241198e-08,3.313780857105279e-08,1e-05,1
617,3-2/58,3-2,3,1.1406484057285837e-07,2.482893314474343e-08,3.214843729747843e-08,1e-05,1
618,3-2/59,3-2,3,1.1681445988287464e-07,2.8064917078504953e-08,3.507215799742287e-08,1e-05,1
619,3-2/60,3-2,3,1.0722845633637235e-07,2.370684430467355e-08,3.019735515961868e-08,1e-05,1
620,3-2/61,3-2,3,9.81723559112524e-08,2.5700168511473866e-08,3.231752485524938e-08,1e-05,1
621,3-2/62,3-2,3,1.3345442506640381e-07,3.263262970458282e-08,4.240641728057057e-08,1e-05,1
622,3-2/63,3-2,3,1.0922695803383675e-07,2.498240052201344e-08,3.1462526550853686e-08,1e-05,1
623,3-2/64,3-2,3,1.1914694153514205e-07,2.56000384350497e-08,3.3500817913002535e-08,1e-05,1
624,3-2/65,3-2,3,1.056119796061239e-07,2.493616192218802e-08,3.158097840861651e-08,1e-05,1
625,3-2/66,3-2,3,1.0051748222661416e-07,2.6454829636589606e-08,3.335078838626392e-08,1e-05,1
626,3-2/67,3-2,3,1.1704621816210903e-07,2.7165618842994053e-08,3.5303868111619766e-08,1e-05,1
627,3-2/68,3-2,3,1.6279008319131094e-07,3.1096852937061415e-08,4.02564418849834e-08,1e-05,1
628,3-2/69,3-2,3,9.478367435367119e-08,2.4229474645463852e-08,3.0971875342645034e-08,1e-05,1
629,3-2/70,3-2,3,1.3269129295334636e-07,3.0464988433173064e-08,3.9822585404421666e-08,1e-05,1
630,3-2/71,3-2,3,1.0517447535107749e-07,2.6568109152317625e-08,3.4103217642960863e-08,1e-05,1
631,3-2/72,3-2,3,1.5907146710958386e-07,2.7591143016147957e-08,3.4416835204044996e-08,1e-05,1
632,3-2/73,3-2,3,1.1053059167931423e-07,2.4530397493186822e-08,3.165316975695161e-08,1e-05,1
633,3-2/74,3-2,3,1.4398746528421213e-07,3.138693253232633e-08,3.9930768525926715e-08,1e-05,1
634,3-2/75,3-2,3,1.0277773854205918e-07,2.3723503402527584e-08,3.104282635858498e-08,1e-05,1
635,3-2/76,3-2,3,1.0633692448802634e-07,2.965080510074129e-08,3.73170760351132e-08,1e-05,1
636,3-2/77,3-2,3,1.1555256307360651e-07,2.4334023447902356e-08,3.124745874087444e-08,1e-05,1
637,3-2/78,3-2,3,9.740759066012572e-08,2.4540942998981955e-08,3.16390107502458e-08,1e-05,1
638,3-2/79,3-2,3,1.020853029887192e-07,2.5182987614725837e-08,3.2396628970193446e-08,1e-05,1
639,3-2/80,3-2,3,1.0332661437573165e-07,2.6864382627175435e-08,3.411320057643241e-08,1e-05,1
640,4-1/1,4-1,4,1.221895213898705e-07,2.7818795367058244e-08,3.609589950566624e-08,1e-05,1
641,4-1/2,4-1,4,1.706860277561617e-07,3.553626295239836e-08,4.597949838309546e-08,1e-05,1
642,4-1/3,4-1,4,1.5783066698027426e-07,3.282902377084196e-08,4.327665146216321e-08,1e-05,1
643,4-1/4,4-1,4,1.6800774838010568e-07,3.23976640571622e-08,4.3165255104928134e-08,1e-05,1
644,4-1/5,4-1,4,1.4446346663365972e-07,3.300458817130279e-08,4.30537276279404e-08,1e-05,1
645,4-1/6,4-1,4,1.3403776233378295e-07,3.459606080072058e-08,4.389037059092147e-08,1e-05,1
646,4-1/7,4-1,4,1.5878286485637716e-07,3.606670522937729e-08,4.6835422922895e-08,1e-05,1
647,4-1/8,4-1,4,1.42044835560462e-07,3.326201422952221e-08,4.278082117624907e-08,1e-05,1
648,4-1/9,4-1,4,2.235567349018197e-07,3.9778421561200295e-08,5.0900762754577426e-08,1e-05,1
649,4-1/10,4-1,4,1.1687537249116531e-07,2.86774990489152e-08,3.604874160930128e-08,1e-05,1
650,4-1/11,4-1,4,1.4570024275961657e-07,3.9241202781817934e-08,4.972803367252921e-08,1e-05,1
651,4-1/12,4-1,4,1.455310492115558e-07,3.700942451013394e-08,4.8343904593890396e-08,1e-05,1
652,4-1/13,4-1,4,1.567147543957148e-07,3.2526545631367594e-08,4.205406396321904e-08,1e-05,1
653,4-1/14,4-1,4,1.1109853070845332e-07,2.9223704261493784e-08,3.696393865621137e-08,1e-05,1
654,4-1/15,4-1,4,1.3539633769710235e-07,3.336282464919977e-08,4.274703634017151e-08,1e-05,1
655,4-1/16,4-1,4,1.8189427808401604e-07,4.345464793114697e-08,5.612877728019547e-08,1e-05,1
656,4-1/17,4-1,4,1.3962183920135374e-07,3.460795035029788e-08,4.409397262025057e-08,1e-05,1
657,4-1/18,4-1,4,1.183775969471057e-07,3.062977175805513e-08,3.940233537305231e-08,1e-05,1
658,4-1/19,4-1,4,1.7308836464113853e-07,3.6988121622392136e-08,4.8331027940536666e-08,1e-05,1
