model_id,role,view,classifier,held_out_batch,n,accuracy,balanced_accuracy,macro_f1,negative_log_likelihood,multiclass_brier_score,expected_calibration_error,errors
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,6,126,0.9682539682539683,0.9692095588235294,0.9683740971543391,0.3367749188473409,0.14799520321819662,0.20182202783243433,4
late_w0.50__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,7,126,0.9841269841269841,0.984375,0.9845761765116604,0.2931867569842305,0.1340048582715027,0.21892114921481148,2
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,0,127,0.984251968503937,0.9848345588235294,0.9848345588235294,0.18549751935713468,0.06965029962663291,0.12677832029070027,2
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,1,127,0.984251968503937,0.9832589285714286,0.9839788049465469,0.18096083109559907,0.06306565961474599,0.14135252144727345,2
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,2,127,0.9606299212598425,0.9618566176470589,0.9616477272727273,0.23576830990868697,0.09279468058795673,0.10874790340399644,5
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,3,127,0.9763779527559056,0.9765625,0.9769020853698274,0.18161570033037736,0.06867638254168176,0.11376214192695373,3
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,4,126,0.9761904761904762,0.9765625,0.9760603345280765,0.16804829174807734,0.06168219684825037,0.10556410103318237,3
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,5,126,0.9841269841269841,0.984375,0.9840909090909091,0.18001873627866624,0.06455291021260295,0.12629071825837906,2
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,6,126,0.9682539682539683,0.9692095588235294,0.9676262917190337,0.22189507287238083,0.08158804647739071,0.11348301362294963,4
late_w0.75__mat_all__shrinkage_lda,same_oof_late_fusion_exploratory_only,mat_all,spectral_ensemble_plus_shrinkage_lda,7,126,0.9841269841269841,0.984375,0.9845761765116604,0.177762650516333,0.061260793620105794,0.1344083208211575,2
