effect_id,effect_label,role,calibration,predictor,scope,left_balanced_accuracy,right_balanced_accuracy,effect
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,probability_ensemble,suffix_1_to_2,0.4385416666666667,0.5293981481481482,-0.09085648148148151
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,probability_ensemble,suffix_2_to_1,0.48020833333333335,0.36562500000000003,0.11458333333333331
fusion_full_minus_spectral_only_full,fusion_net(full) - spectral_only(full),secondary,temperature_scaled,probability_ensemble,theta_two_direction_equal_weight,,,0.011863425925925902
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_42,suffix_1_to_2,0.3018518518518518,0.8476851851851852,-0.5458333333333334
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_42,suffix_2_to_1,0.4189236111111111,0.8909722222222223,-0.4720486111111112
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_42,theta_two_direction_equal_weight,,,-0.5089409722222222
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_2024,suffix_1_to_2,0.3128472222222222,0.8351851851851853,-0.522337962962963
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_2024,suffix_2_to_1,0.41857638888888893,0.8836805555555556,-0.46510416666666665
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_2024,theta_two_direction_equal_weight,,,-0.4937210648148148
fusion_full_minus_snv_lr_full,fusion_net(full) - snv_lr(full),descriptive_baseline,temperature_scaled,seed_2025,suffix_1_to_2,0.4558449074074074,0.8383101851851852,-0.3824652777777778
